FECHA;LATITUD;LONGITUD;PEATONES
2021-01-01 09:00:00;40,42107227;-3,70049043;5.0
2021-01-01 09:00:00;40,42200905;-3,700891722;83.0
2021-01-01 09:00:00;40,42380314;-3,707379398;98.0
2021-01-01 09:00:00;40,42479893;-3,712094845;84.0
2021-01-01 09:00:00;40,42695341;-3,69448847;44.0
2021-01-01 09:00:00;40,43046926;-3,713297939;187.0
2021-01-01 10:00:00;40,405367;-3,701798;118.0
2021-01-01 10:00:00;40,409118;-3,692441;65.0
2021-01-01 10:00:00;40,41110888;-3,696471467;194.0
2021-01-01 10:00:00;40,41289138;-3,707464267;77.0
2021-01-01 10:00:00;40,41338702;-3,697740186;11.0
2021-01-01 10:00:00;40,41373441;-3,723947718;64.0
2021-01-01 10:00:00;40,415111;-3,713569;52.0
2021-01-01 10:00:00;40,41637598;-3,706029098;102.0
2021-01-01 10:00:00;40,41664098;-3,701246554;31.0
2021-01-01 10:00:00;40,418256;-3,697732;155.0
2021-01-01 10:00:00;40,41990798;-3,692363251;36.0
2021-01-01 10:00:00;40,42015321;-3,70435898;38.0
2021-01-01 10:00:00;40,4202703;-3,704325575;26.0
2021-01-01 10:00:00;40,42107227;-3,70049043;42.0
2021-01-01 10:00:00;40,42200905;-3,700891722;153.0
2021-01-01 10:00:00;40,42380314;-3,707379398;106.0
2021-01-01 10:00:00;40,42479893;-3,712094845;54.0
2021-01-01 10:00:00;40,42695341;-3,69448847;73.0
2021-01-01 10:00:00;40,43046926;-3,713297939;114.0
2021-01-01 11:00:00;40,405367;-3,701798;97.0
2021-01-01 11:00:00;40,409118;-3,692441;121.0
2021-01-01 11:00:00;40,41110888;-3,696471467;39.0
2021-01-01 11:00:00;40,41289138;-3,707464267;242.0
2021-01-01 11:00:00;40,41338702;-3,697740186;50.0
2021-01-01 11:00:00;40,41373441;-3,723947718;140.0
2021-01-01 11:00:00;40,415111;-3,713569;19.0
2021-01-01 11:00:00;40,41637598;-3,706029098;63.0
2021-01-01 11:00:00;40,41664098;-3,701246554;47.0
2021-01-01 11:00:00;40,418256;-3,697732;201.0
2021-01-01 11:00:00;40,41990798;-3,692363251;25.0
2021-01-01 11:00:00;40,42015321;-3,70435898;85.0
2021-01-01 11:00:00;40,4202703;-3,704325575;48.0
2021-01-01 11:00:00;40,42107227;-3,70049043;142.0
2021-01-01 11:00:00;40,42200905;-3,700891722;177.0
2021-01-01 11:00:00;40,42380314;-3,707379398;78.0
2021-01-01 11:00:00;40,42479893;-3,712094845;37.0
2021-01-01 11:00:00;40,42695341;-3,69448847;59.0
2021-01-01 11:00:00;40,43046926;-3,713297939;272.0
2021-01-01 12:00:00;40,405367;-3,701798;206.0
2021-01-01 12:00:00;40,409118;-3,692441;352.0
2021-01-01 12:00:00;40,41110888;-3,696471467;199.0
2021-01-01 12:00:00;40,41289138;-3,707464267;378.0
2021-01-01 12:00:00;40,41338702;-3,697740186;5.0
2021-01-01 12:00:00;40,41373441;-3,723947718;239.0
2021-01-01 12:00:00;40,415111;-3,713569;177.0
2021-01-01 12:00:00;40,41637598;-3,706029098;339.0
2021-01-01 12:00:00;40,41664098;-3,701246554;159.0
2021-01-01 12:00:00;40,418256;-3,697732;302.0
2021-01-01 12:00:00;40,41990798;-3,692363251;81.0
2021-01-01 12:00:00;40,42015321;-3,70435898;169.0
2021-01-01 12:00:00;40,4202703;-3,704325575;66.0
2021-01-01 12:00:00;40,42107227;-3,70049043;63.0
2021-01-01 12:00:00;40,42200905;-3,700891722;421.0
2021-01-01 12:00:00;40,42380314;-3,707379398;146.0
2021-01-01 12:00:00;40,42479893;-3,712094845;51.0
2021-01-01 12:00:00;40,42695341;-3,69448847;149.0
2021-01-01 12:00:00;40,43046926;-3,713297939;212.0
2021-01-01 13:00:00;40,405367;-3,701798;223.0
2021-01-01 13:00:00;40,409118;-3,692441;289.0
2021-01-01 13:00:00;40,41110888;-3,696471467;175.0
2021-01-01 13:00:00;40,41289138;-3,707464267;537.0
2021-01-01 13:00:00;40,41338702;-3,697740186;9.0
2021-01-01 13:00:00;40,41373441;-3,723947718;448.0
2021-01-01 13:00:00;40,415111;-3,713569;138.0
2021-01-01 13:00:00;40,41637598;-3,706029098;332.0
2021-01-01 13:00:00;40,41664098;-3,701246554;120.0
2021-01-01 13:00:00;40,418256;-3,697732;251.0
2021-01-01 13:00:00;40,41990798;-3,692363251;77.0
2021-01-01 13:00:00;40,42015321;-3,70435898;281.0
2021-01-01 13:00:00;40,4202703;-3,704325575;74.0
